Id,Image,Part No,Name,Color,Quantity,Average Price,Value,Used Price,Used Value,Remarks
1,"=IMAGE(""HTTP://img.bricklink.com/P/1/3678b.jpg"")",3678b,Slope 65 2 x 2 x 2 with Bottom Tube,White,7,0.1147,0.8029,0.1143,0.8001,
2,"=IMAGE(""HTTP://img.bricklink.com/P/86/3678b.jpg"")",3678b,Slope 65 2 x 2 x 2 with Bottom Tube,Light Bluish Gray,31,0.0967,2.9977,0.0964,2.9884,
3,"=IMAGE(""HTTP://img.bricklink.com/P/68/3678b.jpg"")",3678b,Slope 65 2 x 2 x 2 with Bottom Tube,Dark Orange,21,0.1914,4.0194,0.1823,3.8282999999999996,
4,"=IMAGE(""HTTP://img.bricklink.com/P/93/3039.jpg"")",3039,Slope 45 2 x 2,Light Purple,28,0.0000,0.0,0.0,0.0,
5,"=IMAGE(""HTTP://img.bricklink.com/P/1/3039.jpg"")",3039,Slope 45 2 x 2,various,20,0.1,2.0,0.1,2.0,
6,"=IMAGE(""HTTP://img.bricklink.com/P/1/3039.jpg"")",3039,Slope 45 2 x 2,White,26,0.0661,1.7186000000000001,0.0659,1.7134,
7,"=IMAGE(""HTTP://img.bricklink.com/P/59/3039.jpg"")",3039,Slope 45 2 x 2,Dark Red,48,0.0603,2.8944,0.0597,2.8656,
8,"=IMAGE(""HTTP://img.bricklink.com/P/5/3039.jpg"")",3039,Slope 45 2 x 2,Red,44,0.0473,2.0812,0.0467,2.0547999999999997,
9,"=IMAGE(""HTTP://img.bricklink.com/P/8/3039.jpg"")",3039,Slope 45 2 x 2,Brown,47,0.2130,10.011,0.2253,10.5891,
10,"=IMAGE(""HTTP://img.bricklink.com/P/63/3039.jpg"")",3039,Slope 45 2 x 2,Dark Blue,123,0.0492,6.0516,0.05,6.15,
11,"=IMAGE(""HTTP://img.bricklink.com/P/85/3039.jpg"")",3039,Slope 45 2 x 2,Dark Bluish Gray,39,0.0591,2.3049,0.0595,2.3205,
12,"=IMAGE(""HTTP://img.bricklink.com/P/6/3039.jpg"")",3039,Slope 45 2 x 2,Green,35,0.0382,1.337,0.0378,1.323,
13,"=IMAGE(""HTTP://img.bricklink.com/P/71/3039.jpg"")",3039,Slope 45 2 x 2,Magenta,36,0.0439,1.5804,0.0428,1.5408,
14,"=IMAGE(""HTTP://img.bricklink.com/P/86/3039.jpg"")",3039,Slope 45 2 x 2,Light Bluish Gray,6,0.0567,0.3402,0.0564,0.3384,
15,"=IMAGE(""HTTP://img.bricklink.com/P/155/3039.jpg"")",3039,Slope 45 2 x 2,Olive Green,30,0.0953,2.859,0.0952,2.8560000000000003,
16,"=IMAGE(""HTTP://img.bricklink.com/P/88/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",Reddish Brown,20,0.0354,0.708,0.0358,0.716,
17,"=IMAGE(""HTTP://img.bricklink.com/P/7/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",Blue,68,0.0403,2.7404,0.0399,2.7132,
18.1,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.2,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.3,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.4,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.5,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.6,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.7,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
18.8,"=IMAGE(""HTTP://img.bricklink.com/P/12/3039.jpg"")",3039,Slope 45 2 x 2,Trans-Clear,233,0.0429,9.9957,0.0433,10.088899999999999,
19,"=IMAGE(""HTTP://img.bricklink.com/P/6/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",Green,13,0.0364,0.4732,0.0367,0.4771,
20,"=IMAGE(""HTTP://img.bricklink.com/P/5/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",Red,45,0.0515,2.3175,0.0511,2.2995,
21,"=IMAGE(""HTTP://img.bricklink.com/P/1/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",White,201,0.1139,22.8939,0.115,23.115000000000002,
22,"=IMAGE(""HTTP://img.bricklink.com/P/88/3660.jpg"")",3660,"Slope, Inverted 45 2 x 2",Reddish Brown,51,0.0354,1.8054000000000001,0.0358,1.8257999999999999,
23,"=IMAGE(""HTTP://img.bricklink.com/P/5/3298.jpg"")",3298,Slope 33 3 x 2,Red,92,0.0541,4.9772,0.0527,4.8484,
24,"=IMAGE(""HTTP://img.bricklink.com/P/85/3298.jpg"")",3298,Slope 33 3 x 2,Dark Bluish Gray,120,0.1188,14.256,0.1195,14.34,
25,"=IMAGE(""HTTP://img.bricklink.com/P/6/3298.jpg"")",3298,Slope 33 3 x 2,Green,83,0.2972,24.6676,0.3136,26.0288,
26,"=IMAGE(""HTTP://img.bricklink.com/P/7/3298.jpg"")",3298,Slope 33 3 x 2,Blue,38,0.0535,2.033,0.0519,1.9722,
27,"=IMAGE(""HTTP://img.bricklink.com/P/1/3298.jpg"")",3298,Slope 33 3 x 2,White,32,0.0835,2.672,0.0832,2.6624,
28,"=IMAGE(""HTTP://img.bricklink.com/P/9/30363.jpg"")",30363,Slope 18 4 x 2,Light Gray,9,1.3276,11.9484,1.0783,9.7047,
29,"=IMAGE(""HTTP://img.bricklink.com/P/1/30363.jpg"")",N/A,Misc Slopes,Various,16,0.1,1.6,0.1,1.6,
30,"=IMAGE(""HTTP://img.bricklink.com/P/6/3040.jpg"")",3040,Slope 45 2 x 1,Green,81,0.0331,2.6811,0.0327,2.6487,
31,"=IMAGE(""HTTP://img.bricklink.com/P/47/3040.jpg"")",3040,Slope 45 2 x 1,Dark Pink,21,0.0561,1.1781,0.0512,1.0752000000000002,
